cohort	n	model	LOPO_MAE	constant_LOPO_MAE	improvement_over_constant
GSE286827	26	intercept	19.446153846153845	19.446153846153845	0.0
GSE286827	26	Cytotoxic2	20.106065088757397	19.446153846153845	-0.6599112426035525
GSE286827	26	Cytotoxic2_plus_GZMK40	20.955317245598557	19.446153846153845	-1.509163399444713
GSE286827	26	PC1_without_GZMK40	19.8719205078695	19.446153846153845	-0.4257666617156559
GSE286827	26	PC1_plus_GZMK40	20.628296280448584	19.446153846153845	-1.1821424342947395
GSE286827	26	Cytotoxic2_plus_TcellInflamedGEP18	20.875266275829745	19.446153846153845	-1.4291124296759001
GSE286827	26	PC1_without_TcellInflamedGEP18	19.910323224850263	19.446153846153845	-0.4641693786964183
GSE286827	26	PC1_plus_TcellInflamedGEP18	20.71997999679066	19.446153846153845	-1.2738261506368147
GSE288199	27	intercept	30.25641025641026	30.25641025641026	0.0
GSE288199	27	Cytotoxic2	30.428110161443488	30.25641025641026	-0.17169990503322907
GSE288199	27	Cytotoxic2_plus_GZMK40	30.940206742266387	30.25641025641026	-0.6837964858561278
GSE288199	27	PC1_without_GZMK40	28.86985030321628	30.25641025641026	1.3865599531939807
GSE288199	27	PC1_plus_GZMK40	30.320792701643295	30.25641025641026	-0.06438244523303638
GSE288199	27	Cytotoxic2_plus_TcellInflamedGEP18	31.423981133481952	30.25641025641026	-1.167570877071693
GSE288199	27	PC1_without_TcellInflamedGEP18	28.899151947545207	30.25641025641026	1.3572583088650525
GSE288199	27	PC1_plus_TcellInflamedGEP18	30.19624108342426	30.25641025641026	0.060169172986000774
GSE296954	10	intercept	19.24444444444444	19.24444444444444	0.0
GSE296954	10	Cytotoxic2	19.729999999999997	19.24444444444444	-0.48555555555555685
GSE296954	10	Cytotoxic2_plus_GZMK40	20.302460628032197	19.24444444444444	-1.0580161835877568
GSE296954	10	PC1_without_GZMK40	18.57710436274197	19.24444444444444	0.66734008170247
GSE296954	10	PC1_plus_GZMK40	15.590169165126449	19.24444444444444	3.654275279317991
GSE296954	10	Cytotoxic2_plus_TcellInflamedGEP18	20.761049682386666	19.24444444444444	-1.5166052379422261
GSE296954	10	PC1_without_TcellInflamedGEP18	20.723624299568534	19.24444444444444	-1.4791798551240944
GSE296954	10	PC1_plus_TcellInflamedGEP18	22.57103141267112	19.24444444444444	-3.326586968226678
