cohort	signature	measured	exclusive	delete_count	nonoverlap_delete_feasible
CPTAC	GZMK40	35	15	20	False
CPTAC	CYT2	2	0	2	False
CPTAC	EXH5	5	1	4	False
CPTAC	IFNG6	6	2	4	False
CPTAC	TLS9	9	8	1	True
CPTAC	GEP18	18	10	8	True
CPTAC	Korea30	29	15	14	True
CPTAC	Dysf238	230	129	101	True
CPTAC	Shared84	83	0	83	False
GSE288199_native22	GZMK40	39	19	20	False
GSE288199_native22	CYT2	2	0	2	False
GSE288199_native22	EXH5	5	1	4	False
GSE288199_native22	IFNG6	6	2	4	False
GSE288199_native22	TLS9	9	8	1	True
GSE288199_native22	GEP18	18	10	8	True
GSE288199_native22	Korea30	29	15	14	True
GSE288199_native22	Dysf238	237	135	102	True
GSE288199_native22	Shared84	84	0	84	False
GSE288199_fixed22	GZMK40	39	19	20	False
GSE288199_fixed22	CYT2	2	0	2	False
GSE288199_fixed22	EXH5	5	1	4	False
GSE288199_fixed22	IFNG6	6	2	4	False
GSE288199_fixed22	TLS9	9	8	1	True
GSE288199_fixed22	GEP18	18	10	8	True
GSE288199_fixed22	Korea30	29	15	14	True
GSE288199_fixed22	Dysf238	237	135	102	True
GSE288199_fixed22	Shared84	84	0	84	False
