cohort	background	architecture	pool_n	mean_abs_expression_rank_difference	mean_abs_SD_rank_difference	mean_abs_detection_difference
CPTAC	all_measurable	independent_sets	35689	0.00892276345745174	0.008710025347349373	0.0004113179866474335
CPTAC	all_measurable	preserved_overlap	35689	0.008930380381238398	0.008801724137771264	0.0004111705938464512
CPTAC	immune_GO	independent_sets	2022	0.02318826258542816	0.024023397926285037	0.0012602972739575759
CPTAC	immune_GO	preserved_overlap	2022	0.024257834069623504	0.02544182015252252	0.00128714116633629
GSE288199_native22	all_measurable	independent_sets	27584	0.006261380049760009	0.006405993565594854	0.0008376847016087777
GSE288199_native22	all_measurable	preserved_overlap	27584	0.0066052854039578305	0.006707589575292229	0.0008372035840390514
GSE288199_native22	immune_GO	independent_sets	1941	0.013596581899309788	0.015590780930706264	0.0042507104701561835
GSE288199_native22	immune_GO	preserved_overlap	1941	0.01696955405545098	0.018613332449799055	0.004235879973258167
GSE288199_fixed22	all_measurable	independent_sets	27584	0.006020022395891926	0.006329231395721055	0.0010773929930048365
GSE288199_fixed22	all_measurable	preserved_overlap	27584	0.006074952328156913	0.00650009288977638	0.0010529660993796313
GSE288199_fixed22	immune_GO	independent_sets	1941	0.0142505946048052	0.0169191655706203	0.00515792935529594
GSE288199_fixed22	immune_GO	preserved_overlap	1941	0.015869665516247505	0.01850328448744125	0.005220261255253334
