cohort	control	design	observed_pc1	full_pc1	null_median	null_lo	null_hi	p	tail	q_all_30_tests
CPTAC	random_delete_all	6_same_sets	0.7787626316783395	0.8870807959432174	0.8611408794922819	0.8338147410881174	0.8868321153794891	0.0009990009990009	actual reduced PC1 below deletion null	0.0021407164264305
CPTAC	random_delete_exclusive_only	4_same_sets	0.8234697405380674	0.9035052839351636	0.9067900634776872	0.8950139556687041	0.9173064902985189	0.0009990009990009	actual reduced PC1 below deletion null	0.0021407164264305
CPTAC	all_measurable_independent_sets	all9	0.8858532552004752	0.8858532552004752	0.3140269447069533	0.2483276231718477	0.3944515172856304	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	all_measurable_independent_sets	without_Shared84	0.8867705481393798	0.8867705481393798	0.3063718955384039	0.2425490070038646	0.3937527582497936	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	all_measurable_preserved_overlap	all9	0.8858532552004752	0.8858532552004752	0.3666008025077083	0.28367239609377	0.4652191338566978	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	all_measurable_preserved_overlap	without_Shared84	0.8867705481393798	0.8867705481393798	0.3514447897761206	0.2692954961895525	0.4537660509791891	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	immune_GO_independent_sets	all9	0.8858532552004752	0.8858532552004752	0.6242960259463916	0.5258870188573971	0.7166352797903185	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	immune_GO_independent_sets	without_Shared84	0.8867705481393798	0.8867705481393798	0.5993634929182277	0.4856168233378847	0.701874726132821	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	immune_GO_preserved_overlap	all9	0.8858532552004752	0.8858532552004752	0.6374515649280706	0.5274832567849851	0.7407644618410233	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
CPTAC	immune_GO_preserved_overlap	without_Shared84	0.8867705481393798	0.8867705481393798	0.6115197914109677	0.4888026620771885	0.7263438015447544	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
GSE288199_native22	random_delete_all	6_same_sets	0.5211083516626742	0.6437450785845655	0.5533918427429882	0.4699944465402912	0.6221522353459134	0.2037962037962038	actual reduced PC1 below deletion null	0.21835307549593264
GSE288199_native22	random_delete_exclusive_only	4_same_sets	0.5577456793414663	0.5836402886093077	0.5588460435125672	0.505400572183683	0.5992176178594818	0.4795204795204795	actual reduced PC1 below deletion null	0.4795204795204795
GSE288199_native22	all_measurable_independent_sets	all9	0.657599350506982	0.657599350506982	0.512267864769967	0.3916561114562875	0.6231111642409126	0.0039960039960039	observed PC1 above matched null	0.006309479993690368
GSE288199_native22	all_measurable_independent_sets	without_Shared84	0.6716221161611629	0.6716221161611629	0.4933765892177911	0.3633879010661203	0.6161764691855353	0.0019980019980019	observed PC1 above matched null	0.0037462537462535626
GSE288199_native22	all_measurable_preserved_overlap	all9	0.657599350506982	0.657599350506982	0.5388932917753877	0.4187730131065544	0.6649272087386747	0.0339660339660339	observed PC1 above matched null	0.04245754245754237
GSE288199_native22	all_measurable_preserved_overlap	without_Shared84	0.6716221161611629	0.6716221161611629	0.5198284953804471	0.3853943397488292	0.6581422837123561	0.0149850149850149	observed PC1 above matched null	0.021407164264307
GSE288199_native22	immune_GO_independent_sets	all9	0.657599350506982	0.657599350506982	0.4351608875519051	0.3396818457919509	0.5468434839911758	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
GSE288199_native22	immune_GO_independent_sets	without_Shared84	0.6716221161611629	0.6716221161611629	0.4127294963004281	0.311076647441209	0.5368798221808204	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
GSE288199_native22	immune_GO_preserved_overlap	all9	0.657599350506982	0.657599350506982	0.4688773963060101	0.3598086996945056	0.5851809918890575	0.0029970029970029	observed PC1 above matched null	0.005288828818240411
GSE288199_native22	immune_GO_preserved_overlap	without_Shared84	0.6716221161611629	0.6716221161611629	0.448799305162891	0.3356981982662427	0.57918083142108	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
GSE288199_fixed22	random_delete_all	6_same_sets	0.4740838980609374	0.6122066247744438	0.4998147642775483	0.410018105099011	0.5787356320014312	0.3006993006993007	actual reduced PC1 below deletion null	0.3110682421027248
GSE288199_fixed22	random_delete_exclusive_only	4_same_sets	0.5161894694056807	0.5862005301152009	0.5382246509678238	0.4871907605471423	0.5762348076908067	0.1978021978021978	actual reduced PC1 below deletion null	0.21835307549593264
GSE288199_fixed22	all_measurable_independent_sets	all9	0.6208973553212196	0.6208973553212196	0.508411860610817	0.4026152644926025	0.6275716849310616	0.0339660339660339	observed PC1 above matched null	0.04245754245754237
GSE288199_fixed22	all_measurable_independent_sets	without_Shared84	0.621612179557686	0.621612179557686	0.480277208972046	0.3591320583774747	0.6104395231695402	0.0159840159840159	observed PC1 above matched null	0.021796385432748956
GSE288199_fixed22	all_measurable_preserved_overlap	all9	0.6208973553212196	0.6208973553212196	0.5299242246912956	0.4089896359718831	0.6650717890985578	0.0979020979020979	observed PC1 above matched null	0.11296395911780527
GSE288199_fixed22	all_measurable_preserved_overlap	without_Shared84	0.621612179557686	0.621612179557686	0.5009943178897637	0.3736014021878238	0.6445498086795688	0.0489510489510489	observed PC1 above matched null	0.05874125874125868
GSE288199_fixed22	immune_GO_independent_sets	all9	0.6208973553212196	0.6208973553212196	0.4460085524910651	0.3471179599622149	0.5523385839801043	0.0019980019980019	observed PC1 above matched null	0.0037462537462535626
GSE288199_fixed22	immune_GO_independent_sets	without_Shared84	0.621612179557686	0.621612179557686	0.4170080608152525	0.3154076684286457	0.5358990272047899	0.0009990009990009	observed PC1 above matched null	0.0021407164264305
GSE288199_fixed22	immune_GO_preserved_overlap	all9	0.6208973553212196	0.6208973553212196	0.4788227803399342	0.3701148004998654	0.6021464817008909	0.0089910089910089	observed PC1 above matched null	0.013486513486513349
GSE288199_fixed22	immune_GO_preserved_overlap	without_Shared84	0.621612179557686	0.621612179557686	0.4524315466154727	0.3371558413024543	0.5854393089689927	0.0039960039960039	observed PC1 above matched null	0.006309479993690368
