target	design	reference_set	measured
GZMK40	other_PC1	CYT2	2
GZMK40	other_PC1	EXH5	5
GZMK40	other_PC1	IFNG6	6
GZMK40	other_PC1	TLS9	9
GZMK40	other_PC1	GEP18	18
GZMK40	other_PC1	Korea30	29
GZMK40	other_PC1	Dysf238	230
GZMK40	target_gene_disjoint_PC1	CYT2	2
GZMK40	target_gene_disjoint_PC1	EXH5	2
GZMK40	target_gene_disjoint_PC1	IFNG6	6
GZMK40	target_gene_disjoint_PC1	TLS9	8
GZMK40	target_gene_disjoint_PC1	GEP18	15
GZMK40	target_gene_disjoint_PC1	Korea30	22
GZMK40	target_gene_disjoint_PC1	Dysf238	212
CYT2	other_PC1	GZMK40	35
CYT2	other_PC1	EXH5	5
CYT2	other_PC1	IFNG6	6
CYT2	other_PC1	TLS9	9
CYT2	other_PC1	GEP18	18
CYT2	other_PC1	Korea30	29
CYT2	other_PC1	Dysf238	230
CYT2	target_gene_disjoint_PC1	GZMK40	35
CYT2	target_gene_disjoint_PC1	EXH5	5
CYT2	target_gene_disjoint_PC1	IFNG6	6
CYT2	target_gene_disjoint_PC1	TLS9	9
CYT2	target_gene_disjoint_PC1	GEP18	18
CYT2	target_gene_disjoint_PC1	Korea30	28
CYT2	target_gene_disjoint_PC1	Dysf238	228
EXH5	other_PC1	GZMK40	35
EXH5	other_PC1	CYT2	2
EXH5	other_PC1	IFNG6	6
EXH5	other_PC1	TLS9	9
EXH5	other_PC1	GEP18	18
EXH5	other_PC1	Korea30	29
EXH5	other_PC1	Dysf238	230
EXH5	target_gene_disjoint_PC1	GZMK40	32
EXH5	target_gene_disjoint_PC1	CYT2	2
EXH5	target_gene_disjoint_PC1	IFNG6	6
EXH5	target_gene_disjoint_PC1	TLS9	9
EXH5	target_gene_disjoint_PC1	GEP18	16
EXH5	target_gene_disjoint_PC1	Korea30	27
EXH5	target_gene_disjoint_PC1	Dysf238	226
IFNG6	other_PC1	GZMK40	35
IFNG6	other_PC1	CYT2	2
IFNG6	other_PC1	EXH5	5
IFNG6	other_PC1	TLS9	9
IFNG6	other_PC1	GEP18	18
IFNG6	other_PC1	Korea30	29
IFNG6	other_PC1	Dysf238	230
IFNG6	target_gene_disjoint_PC1	GZMK40	35
IFNG6	target_gene_disjoint_PC1	CYT2	2
IFNG6	target_gene_disjoint_PC1	EXH5	5
IFNG6	target_gene_disjoint_PC1	TLS9	9
IFNG6	target_gene_disjoint_PC1	GEP18	15
IFNG6	target_gene_disjoint_PC1	Korea30	28
IFNG6	target_gene_disjoint_PC1	Dysf238	229
TLS9	other_PC1	GZMK40	35
TLS9	other_PC1	CYT2	2
TLS9	other_PC1	EXH5	5
TLS9	other_PC1	IFNG6	6
TLS9	other_PC1	GEP18	18
TLS9	other_PC1	Korea30	29
TLS9	other_PC1	Dysf238	230
TLS9	target_gene_disjoint_PC1	GZMK40	34
TLS9	target_gene_disjoint_PC1	CYT2	2
TLS9	target_gene_disjoint_PC1	EXH5	5
TLS9	target_gene_disjoint_PC1	IFNG6	6
TLS9	target_gene_disjoint_PC1	GEP18	18
TLS9	target_gene_disjoint_PC1	Korea30	29
TLS9	target_gene_disjoint_PC1	Dysf238	229
GEP18	other_PC1	GZMK40	35
GEP18	other_PC1	CYT2	2
GEP18	other_PC1	EXH5	5
GEP18	other_PC1	IFNG6	6
GEP18	other_PC1	TLS9	9
GEP18	other_PC1	Korea30	29
GEP18	other_PC1	Dysf238	230
GEP18	target_gene_disjoint_PC1	GZMK40	32
GEP18	target_gene_disjoint_PC1	CYT2	2
GEP18	target_gene_disjoint_PC1	EXH5	3
GEP18	target_gene_disjoint_PC1	IFNG6	3
GEP18	target_gene_disjoint_PC1	TLS9	9
GEP18	target_gene_disjoint_PC1	Korea30	27
GEP18	target_gene_disjoint_PC1	Dysf238	225
Korea30	other_PC1	GZMK40	35
Korea30	other_PC1	CYT2	2
Korea30	other_PC1	EXH5	5
Korea30	other_PC1	IFNG6	6
Korea30	other_PC1	TLS9	9
Korea30	other_PC1	GEP18	18
Korea30	other_PC1	Dysf238	230
Korea30	target_gene_disjoint_PC1	GZMK40	28
Korea30	target_gene_disjoint_PC1	EXH5	3
Korea30	target_gene_disjoint_PC1	IFNG6	5
Korea30	target_gene_disjoint_PC1	TLS9	9
Korea30	target_gene_disjoint_PC1	GEP18	16
Korea30	target_gene_disjoint_PC1	Dysf238	218
