cohort	signature	full_n	exclusive_n	exclusive_genes
CPTAC	GZMK40	35	15	CD81;NAB1;TMEM155;TSC22D1;TOX;VCAM1;DGKZ;ITGB2;ENPEP;HLA-DPA1;CD44;BHLHE40;IKZF3;LINC00158;CD74
CPTAC	IFNG6	6	2	CXCL10;HLA-DRA
CPTAC	TLS9	9	8	BCL6;CD86;CXCR4;LAMP3;SELL;CCR7;CCL21;CCL19
CPTAC	GEP18	18	10	CD276;HLA-DQA1;CD274;HLA-DRB1;HLA-E;CMKLR1;PDCD1LG2;PSMB10;CD8A;CXCR6
CPTAC	Korea30	29	15	TBX21;CD101;IL21R;GZMM;FASLG;CD3G;JAK3;KIR3DL2;KIR3DL3;THEMIS;IKZF4;ZNF683;IL16;LY9;MZB1
CPTAC	Dysf238	230	202	PLEK;KRT86;LINC01480;GIMAP4;CD38;MYO1E;FAM83D;TIMD4;FAM3C;PTPRCAP;ZFP36L1;DNPH1;TNS3;TSHZ2;EOMES;CCL3;GBP2;KIR2DL4;CCL4L2;LINC01281;KLRC1;SLAMF7;ENTPD1;TNFRSF18;SNX9;CD7;LINC01943;SRGN;GIMAP7;LDHA;CD109;ACP5;TNFRSF1B;MX1;LAYN;TNIP3;SH2D2A;PGAM1;SYNGR2;ICOS;RALA;EMP3;PTPN6;ENC1;CYTOR;CREM;CTSC;CCL4;PKM;ADTRP;NR4A1;AHI1;GNG4;RAB27A;GEM;ARPC1B;CST7;PHLDA1;HNRNPA1;IFI6;NDFIP2;BST2;ADAM12;TYMP;TMSB10;NAMPT;ISG15;PLPP1;LINC00861;CCL20;KRT81;DTHD1;COTL1;PDLIM4;CCND2;INPP5F;UBE2C;PLK1;RORC;PLS3;APOBEC3C;VDR;IL2RA;HLA-C;TBC1D4;TROAP;MT2A;CD8B;CCNB2;PLSCR1;GPR25;GTSE1;PON2;SIRPG;EEF1G;CREB5;MYL6B;HIF1A;RHOB;RCAN1;IFI44L;FLOT1;GALM;PELI1;MIR4435-2HG;SAMD3;FAM174B;EEF1A1;GALNT2;LINC02099;PRDM1;BIRC3;SERPINE2;B2M;ASPM;FKBP1A;CXXC5;OAS1;BIRC5;ARID5B;CCNB1;RGS1;SUB1;CD82;CSF1;SLC16A3;CD70;NFKBID;PTPN7;GIMAP1;CDC20;CKAP2L;DUSP2;KIF23;LY6E;FABP5;PIP5K1B;FOXP3;RARRES3;SRGAP3;CDCA2;KIF2C;MAST4;CHI3L2;IL2RB;KIF14;HMMR;CDK2AP2;MKI67;ZEB2;LITAF;SOX4;NSMCE1;RAB38;CCNA2;BATF;RANBP1;LINC01503;CARD16;NCKAP1;SLC3A2;POU3F1;SELENOP;VIPR2;MAP1LC3B;C12orf75;PMP22;SLC27A2;HSP90AA1;CDKN3;IFITM1;EGR2;MT1E;FAM102A;MCM2;XCL1;MIF;KIF20A;PDE4D;PSMB8;LYST;NUSAP1;PRNP;CBLB;GBP5;NR4A2;RELB;DLGAP5;HSPH1;H3F3B;TMEM117;TMSB4X;PHACTR2;SCX;CENPF;PDLIM1;EIF5A;ARPC5L;OASL;APOBEC3H;ZWINT;CALM3
GSE288199_native22	GZMK40	39	19	CD81;NAB1;TMEM155;MTRNR2L12;TSC22D1;TOX;VCAM1;DGKZ;ITGB2;AL391056.1;TRBV21-1;ENPEP;HLA-DPA1;CD44;AL606807.1;BHLHE40;IKZF3;LINC00158;CD74
GSE288199_native22	IFNG6	6	2	CXCL10;HLA-DRA
GSE288199_native22	TLS9	9	8	BCL6;CD86;CXCR4;LAMP3;SELL;CCR7;CCL21;CCL19
GSE288199_native22	GEP18	18	10	CD276;HLA-DQA1;CD274;HLA-DRB1;HLA-E;CMKLR1;PDCD1LG2;PSMB10;CD8A;CXCR6
