design	protein	r	p	n	rank	df	condition	ci_low	ci_high	q
single_protein	PSMB9	0.23742500086153992	0.04166401806837163	83	10	72	16.704374938984746	0.00020792896693386763	0.48967070915737904	0.05208002258546454
single_protein	TAP1	0.38091569843698714	0.0008135167474560844	83	10	72	16.704374938984746	0.1262552862842537	0.581756792594203	0.0013558612457601406
single_protein	TAP2	0.39206239268868553	0.0005510209636333256	83	10	72	16.704374938984746	0.13233972903317748	0.5868101824038968	0.0013558612457601406
single_protein	GBP1	0.48757488660394493	1.053173051350872e-05	83	10	72	16.704374938984746	0.2918633807041869	0.6503819958523994	5.26586525675436e-05
single_protein	IFIT1	0.10362644882057334	0.3796069217680564	83	10	72	16.704374938984746	-0.15687137765980316	0.3421015708718525	0.3796069217680564
leave_one_protein_out	PSMB9	0.3612091878929103	0.0015678659301933769	83	10	72	16.704374938984746	0.10651428669402042	0.5632616839309125	0.001959832412741721
leave_one_protein_out	TAP1	0.3695996932964081	0.001191679513657498	83	10	72	16.704374938984746	0.11065160000389981	0.5737326584318106	0.001959832412741721
leave_one_protein_out	TAP2	0.3754933707890014	0.0009784759954734822	83	10	72	16.704374938984746	0.12405664627502411	0.5748088878084607	0.001959832412741721
leave_one_protein_out	GBP1	0.31487322877029633	0.006287395482518904	83	10	72	16.704374938984746	0.05050006105894932	0.529388342562252	0.006287395482518904
leave_one_protein_out	IFIT1	0.4818523224890476	1.381997481035894e-05	83	10	72	16.704374938984746	0.25361258940482123	0.6594479142292476	6.90998740517947e-05
original_panel	all_five	0.3817373643910258	0.0007908531497845419	83	10	72	16.704374938984746	0.13000705014299896	0.5852853481470369	0.0007908531497845419
