analysis_set	compartment	n	pc1_variance	median_abs_rho	effective_dimensions
all_eligible_50	all_QC	27	0.5817625008980748	0.3559218559218559	2.4170534183812666
all_eligible_50	T_including_mixed	27	0.6149320637063178	0.5427350427350428	2.41472334086284
all_eligible_50	T_clean	27	0.6340113111755079	0.5995115995115995	2.294268915793057
all_eligible_50	CD8_clean	24	0.6021828026991304	0.5652173913043479	2.51082121813802
all_eligible_50	Treg	26	0.6409481833927683	0.655042735042735	2.233639528232214
all_eligible_50	CD4_naive_Tcm	26	0.5955833011977988	0.5206837606837607	2.5421242433293822
all_eligible_50	CD4_effector	22	0.5691835021590057	0.5375494071146247	2.708405613407393
all_eligible_50	CD8_Tem_Trm	24	0.6086282117908396	0.5108695652173912	2.4595237323347545
matched_four_50	T_clean	22	0.6192069458546196	0.6160361377752683	2.3568969978790664
matched_four_50	CD8_clean	22	0.6204671416254463	0.6019198193111237	2.3928674985136404
matched_four_50	Treg	22	0.6425256427607795	0.6549971767363074	2.231494633737532
matched_four_50	CD4_naive_Tcm	22	0.5908003067379104	0.5889328063241109	2.574674880964026
matched_four_50	CD4_effector	22	0.5691835021590057	0.5375494071146247	2.708405613407393
matched_four_50	CD8_Tem_Trm	22	0.6422229603602363	0.6120835686053079	2.2590948716048276
matched_four_50	native_four	22	0.657599350506982	0.6278938452851497	2.14598185759273
matched_four_50	fixed_equal_RNA_four	22	0.6208973553212196	0.5810276679841899	2.3665565376866837
matched_four_50	composition_only_LOO	22	0.593143797060444	0.5364201016374931	2.2404750932070576
matched_four_100	T_clean	18	0.6520139055757342	0.6367389060887513	2.1586637952162397
matched_four_100	CD8_clean	18	0.5946851843474202	0.5139318885448917	2.529586354094339
matched_four_100	Treg	18	0.6232401073121058	0.587203302373581	2.3146171623548675
matched_four_100	CD4_naive_Tcm	18	0.6073627772357073	0.564499484004128	2.4398730093103618
matched_four_100	CD4_effector	18	0.573234196257476	0.5552115583075335	2.674004690065521
matched_four_100	CD8_Tem_Trm	18	0.6093466792453466	0.6006191950464397	2.435235662918698
matched_four_100	native_four	18	0.6389448837403352	0.6181630546955624	2.234968610138775
matched_four_100	fixed_equal_RNA_four	18	0.6038274156337193	0.5583075335397317	2.4559252112764978
matched_four_100	composition_only_LOO	18	0.6731452198070556	0.6470588235294119	1.9347558102131235
