compartment	signature	n_present	n_genes	coverage
all_QC	GZMK40	39	40	0.975
all_QC	Cytotoxic2	2	2	1.0
all_QC	Exhausted5	5	5	1.0
all_QC	IFNG6	6	6	1.0
all_QC	TLS9	9	9	1.0
all_QC	TcellInflamedGEP18	18	18	1.0
all_QC	KoreaResponderNetwork30	29	30	0.9666666666666667
all_QC	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
all_QC	IMCISION_SharedTrajectory84	84	84	1.0
T_including_mixed	GZMK40	39	40	0.975
T_including_mixed	Cytotoxic2	2	2	1.0
T_including_mixed	Exhausted5	5	5	1.0
T_including_mixed	IFNG6	6	6	1.0
T_including_mixed	TLS9	9	9	1.0
T_including_mixed	TcellInflamedGEP18	18	18	1.0
T_including_mixed	KoreaResponderNetwork30	29	30	0.9666666666666667
T_including_mixed	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
T_including_mixed	IMCISION_SharedTrajectory84	84	84	1.0
T_clean	GZMK40	39	40	0.975
T_clean	Cytotoxic2	2	2	1.0
T_clean	Exhausted5	5	5	1.0
T_clean	IFNG6	6	6	1.0
T_clean	TLS9	9	9	1.0
T_clean	TcellInflamedGEP18	18	18	1.0
T_clean	KoreaResponderNetwork30	29	30	0.9666666666666667
T_clean	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
T_clean	IMCISION_SharedTrajectory84	84	84	1.0
CD8_clean	GZMK40	39	40	0.975
CD8_clean	Cytotoxic2	2	2	1.0
CD8_clean	Exhausted5	5	5	1.0
CD8_clean	IFNG6	6	6	1.0
CD8_clean	TLS9	9	9	1.0
CD8_clean	TcellInflamedGEP18	18	18	1.0
CD8_clean	KoreaResponderNetwork30	29	30	0.9666666666666667
CD8_clean	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
CD8_clean	IMCISION_SharedTrajectory84	84	84	1.0
Treg	GZMK40	39	40	0.975
Treg	Cytotoxic2	2	2	1.0
Treg	Exhausted5	5	5	1.0
Treg	IFNG6	6	6	1.0
Treg	TLS9	9	9	1.0
Treg	TcellInflamedGEP18	18	18	1.0
Treg	KoreaResponderNetwork30	29	30	0.9666666666666667
Treg	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
Treg	IMCISION_SharedTrajectory84	84	84	1.0
CD4_naive_Tcm	GZMK40	38	40	0.95
CD4_naive_Tcm	Cytotoxic2	2	2	1.0
CD4_naive_Tcm	Exhausted5	5	5	1.0
CD4_naive_Tcm	IFNG6	6	6	1.0
CD4_naive_Tcm	TLS9	9	9	1.0
CD4_naive_Tcm	TcellInflamedGEP18	18	18	1.0
CD4_naive_Tcm	KoreaResponderNetwork30	28	30	0.9333333333333333
CD4_naive_Tcm	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
CD4_naive_Tcm	IMCISION_SharedTrajectory84	84	84	1.0
CD4_effector	GZMK40	38	40	0.95
CD4_effector	Cytotoxic2	2	2	1.0
CD4_effector	Exhausted5	5	5	1.0
CD4_effector	IFNG6	6	6	1.0
CD4_effector	TLS9	9	9	1.0
CD4_effector	TcellInflamedGEP18	18	18	1.0
CD4_effector	KoreaResponderNetwork30	28	30	0.9333333333333333
CD4_effector	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
CD4_effector	IMCISION_SharedTrajectory84	84	84	1.0
CD8_Tem_Trm	GZMK40	39	40	0.975
CD8_Tem_Trm	Cytotoxic2	2	2	1.0
CD8_Tem_Trm	Exhausted5	5	5	1.0
CD8_Tem_Trm	IFNG6	6	6	1.0
CD8_Tem_Trm	TLS9	9	9	1.0
CD8_Tem_Trm	TcellInflamedGEP18	18	18	1.0
CD8_Tem_Trm	KoreaResponderNetwork30	29	30	0.9666666666666667
CD8_Tem_Trm	IMCISION_DysfunctionalTrajectory238	237	238	0.9957983193277311
CD8_Tem_Trm	IMCISION_SharedTrajectory84	84	84	1.0
