cohort	n	target	baseline	augmented	baseline_MAE	augmented_MAE	improvement_MAE	ci_low	ci_high	intercept_MAE	n_boot_valid	n_boot_attempted	status	score
GSE288199	27	GZMK40	Cytotoxic2	Cytotoxic2_plus_GZMK40	30.428110161443488	30.940206742266387	-0.5120965808228988	-4.388525769545047	4.994767292648318	30.25641025641026	2000	2000	exploratory; source cohort excluded for GZMK40	clean T ssGSEA ES
GSE288199	27	GZMK40	PC1_without_GZMK40	PC1_plus_GZMK40	28.86985030321628	30.320792701643295	-1.450942398427017	-4.645982371513483	4.574680763117124	30.25641025641026	2000	2000	exploratory; source cohort excluded for GZMK40	clean T ssGSEA ES
GSE288199	27	TcellInflamedGEP18	Cytotoxic2	Cytotoxic2_plus_TcellInflamedGEP18	30.428110161443488	31.423981133481952	-0.995870972038464	-4.1005205157620415	3.0508481850589324	30.25641025641026	2000	2000	exploratory; source cohort excluded for GZMK40	clean T ssGSEA ES
GSE288199	27	TcellInflamedGEP18	PC1_without_TcellInflamedGEP18	PC1_plus_TcellInflamedGEP18	28.899151947545207	30.19624108342426	-1.2970891358790517	-4.612098950259969	2.9399297281908154	30.25641025641026	2000	2000	exploratory; source cohort excluded for GZMK40	clean T ssGSEA ES
GSE286827	26	GZMK40	Cytotoxic2	Cytotoxic2_plus_GZMK40	20.106065088757397	20.955317245598557	-0.8492521568411604	-3.7730648135208344	1.2983248831221967	19.446153846153845	2000	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
GSE286827	26	GZMK40	PC1_without_GZMK40	PC1_plus_GZMK40	19.871920507869497	20.628296280448584	-0.7563757725790872	-3.4853550560808584	1.3921823880919701	19.446153846153845	2000	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
GSE286827	26	TcellInflamedGEP18	Cytotoxic2	Cytotoxic2_plus_TcellInflamedGEP18	20.106065088757397	20.875266275829745	-0.7692011870723476	-3.9463720516126957	1.2766031124712618	19.446153846153845	2000	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
GSE286827	26	TcellInflamedGEP18	PC1_without_TcellInflamedGEP18	PC1_plus_TcellInflamedGEP18	19.910323224850263	20.71997999679066	-0.8096567719403964	-4.040109172664216	2.647559767860795	19.446153846153845	2000	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
GSE296954	10	TcellInflamedGEP18	Cytotoxic2	Cytotoxic2_plus_TcellInflamedGEP18	19.730000000000004	20.761049682386666	-1.0310496823866622	-13.012171052129322	6.940665177110524	19.244444444444447	1964	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
GSE296954	10	TcellInflamedGEP18	PC1_without_TcellInflamedGEP18	PC1_plus_TcellInflamedGEP18	20.723624299568534	22.57103141267112	-1.8474071131025838	-15.88569126221648	9.287303354741333	19.244444444444447	1964	2000	exploratory; source cohort excluded for GZMK40	existing ssGSEA; train-rank transform removes common NES scale
